funding_sk,funding_id,donor_sk,program_sk,location_sk,time_sk,pledged_amount_usd,received_amount_usd,utilised_amount_usd,balance_usd,utilisation_rate_pct,funding_type,grant_code,reporting_deadline,compliance_status,budget_code,fiscal_year,currency,exchange_rate
173,FND-00173,10,2,14,169,323663.38,158166.37,125272.73,32893.64,79.2,Grant,GRT-99664,2023-05-15,Compliant,BC-269,2021,USD,1.0
174,FND-00174,8,6,8,1017,1650910.57,1216404.29,655118.87,561285.42,53.9,In-Kind,GRT-99585,2025-06-11,Compliant,BC-146,2024,USD,1.0
175,FND-00175,9,1,6,321,47249.32,14693.23,9103.17,5590.06,62.0,Loan,GRT-18423,2023-05-19,Compliant,BC-949,2022,USD,1.0
176,FND-00176,8,8,14,926,1150759.71,1014432.89,990013.44,24419.45,97.6,Pooled,GRT-51256,2024-12-04,At Risk,BC-277,2024,USD,1.0
177,FND-00177,7,1,5,421,295955.17,152098.07,92735.46,59362.61,61.0,In-Kind,GRT-24328,2023-12-13,Non-Compliant,BC-155,2022,USD,1.0
178,FND-00178,10,5,10,1065,1932884.13,1503749.88,925613.14,578136.74,61.6,Pooled,GRT-67017,2025-11-05,Compliant,BC-395,2024,USD,1.0
179,FND-00179,5,8,11,1080,1885165.99,1353727.32,1289011.67,64715.65,95.2,Pooled,GRT-89370,2025-09-14,Non-Compliant,BC-643,2024,USD,1.0
180,FND-00180,8,10,3,903,1408760.49,1018141.91,576062.1,442079.81,56.6,Loan,GRT-27101,2024-12-09,Compliant,BC-780,2023,USD,1.0
181,FND-00181,9,4,1,603,1671482.81,1640525.28,1434167.02,206358.26,87.4,Pooled,GRT-22196,2024-01-13,Compliant,BC-921,2023,USD,1.0
182,FND-00182,5,2,11,699,1472471.45,651127.63,584663.09,66464.54,89.8,Pooled,GRT-33867,2024-04-13,Non-Compliant,BC-586,2023,USD,1.0
183,FND-00183,10,3,12,1079,707762.91,563708.35,450786.37,112921.98,80.0,In-Kind,GRT-76941,2025-06-12,Compliant,BC-621,2024,USD,1.0
184,FND-00184,3,9,5,721,1554390.39,552425.7,374429.98,177995.72,67.8,Grant,GRT-54289,2024-03-27,Compliant,BC-249,2023,USD,1.0
185,FND-00185,7,2,8,178,1379584.77,906653.0,865420.49,41232.51,95.5,Loan,GRT-16710,2023-03-08,Compliant,BC-664,2021,USD,1.0
186,FND-00186,5,7,15,821,277702.32,204325.13,111955.75,92369.38,54.8,Pooled,GRT-86172,2024-08-07,Compliant,BC-786,2023,USD,1.0
187,FND-00187,5,7,12,90,487507.4,155321.72,131892.47,23429.25,84.9,In-Kind,GRT-74563,2022-11-12,Compliant,BC-367,2021,USD,1.0
188,FND-00188,6,2,10,102,390416.98,192876.37,162429.75,30446.62,84.2,Loan,GRT-62158,2022-10-16,Non-Compliant,BC-441,2021,USD,1.0
189,FND-00189,5,1,14,556,313200.21,265263.72,137159.07,128104.65,51.7,Pooled,GRT-99579,2023-10-08,Compliant,BC-590,2023,USD,1.0
190,FND-00190,4,5,15,681,575716.3,326646.74,322988.04,3658.7,98.9,Loan,GRT-66282,2024-05-17,Compliant,BC-331,2023,USD,1.0
191,FND-00191,6,8,8,521,18941.91,8480.75,7086.9,1393.85,83.6,Grant,GRT-99196,2024-01-04,Compliant,BC-162,2022,USD,1.0
192,FND-00192,1,6,14,442,589825.8,344569.66,333603.13,10966.53,96.8,Grant,GRT-55537,2023-11-13,Compliant,BC-125,2022,USD,1.0
193,FND-00193,10,6,12,194,1464555.43,605418.75,506061.87,99356.88,83.6,Loan,GRT-49156,2023-03-15,Non-Compliant,BC-741,2022,USD,1.0
194,FND-00194,2,8,1,609,949300.66,740897.92,591946.22,148951.7,79.9,Pooled,GRT-79004,2023-12-23,Compliant,BC-483,2023,USD,1.0
195,FND-00195,6,10,12,509,758378.76,261638.96,239813.9,21825.06,91.7,Pooled,GRT-67542,2024-03-20,At Risk,BC-588,2022,USD,1.0
196,FND-00196,7,5,13,933,1920097.96,1766425.42,1582397.8,184027.62,89.6,Pooled,GRT-31380,2024-12-09,Compliant,BC-454,2024,USD,1.0
197,FND-00197,6,3,12,1032,426003.65,273939.03,157750.96,116188.07,57.6,Loan,GRT-41757,2025-05-02,Compliant,BC-801,2024,USD,1.0
198,FND-00198,5,6,8,637,447320.53,422224.53,222330.31,199894.22,52.7,In-Kind,GRT-85319,2024-07-15,Compliant,BC-380,2023,USD,1.0
199,FND-00199,6,1,15,171,1235979.05,854912.24,509978.43,344933.81,59.7,Pooled,GRT-69787,2023-04-02,Compliant,BC-901,2021,USD,1.0
200,FND-00200,4,4,10,812,233102.24,96516.52,93155.3,3361.22,96.5,Grant,GRT-80026,2024-12-31,Compliant,BC-829,2023,USD,1.0
201,FND-00201,9,6,6,471,610069.81,407261.61,229923.1,177338.51,56.5,Loan,GRT-59487,2023-08-30,Compliant,BC-438,2022,USD,1.0
202,FND-00202,10,10,3,445,1817509.99,776937.66,610459.67,166477.99,78.6,Pooled,GRT-48669,2023-10-01,Compliant,BC-254,2022,USD,1.0
203,FND-00203,4,2,9,969,1998626.46,1657902.85,1422624.37,235278.48,85.8,Pooled,GRT-67206,2025-06-01,Compliant,BC-965,2024,USD,1.0
204,FND-00204,1,7,8,12,1857352.13,917010.83,660242.08,256768.75,72.0,Grant,GRT-60240,2022-09-10,At Risk,BC-578,2021,USD,1.0
205,FND-00205,2,7,12,1062,253849.87,194179.61,176115.71,18063.9,90.7,Pooled,GRT-45236,2025-04-19,Compliant,BC-469,2024,USD,1.0
206,FND-00206,2,8,4,75,1393087.48,970774.84,751598.31,219176.53,77.4,Pooled,GRT-29966,2023-01-11,Compliant,BC-408,2021,USD,1.0
207,FND-00207,8,9,4,1056,1084078.1,394079.85,393304.7,775.15,99.8,Loan,GRT-29689,2025-11-05,Compliant,BC-861,2024,USD,1.0
208,FND-00208,1,3,9,873,1233289.74,515135.57,315356.09,199779.48,61.2,Pooled,GRT-32627,2025-01-12,Compliant,BC-880,2023,USD,1.0
209,FND-00209,3,6,10,470,94824.74,74728.43,43135.39,31593.04,57.7,Loan,GRT-84766,2023-12-08,Non-Compliant,BC-940,2022,USD,1.0
210,FND-00210,2,8,1,150,1481139.34,1360610.95,971900.74,388710.21,71.4,Grant,GRT-32506,2022-12-06,Compliant,BC-173,2021,USD,1.0
211,FND-00211,10,2,12,272,1779508.55,580260.04,481010.6,99249.44,82.9,In-Kind,GRT-19773,2023-06-26,Compliant,BC-772,2022,USD,1.0
212,FND-00212,7,2,6,618,1963239.52,735492.42,389903.53,345588.89,53.0,Pooled,GRT-10649,2024-06-15,Non-Compliant,BC-178,2023,USD,1.0
213,FND-00213,9,6,3,645,1489816.07,1214295.48,1082484.96,131810.52,89.1,Grant,GRT-23363,2024-04-21,Compliant,BC-324,2023,USD,1.0
214,FND-00214,9,5,6,160,1965086.2,1253304.11,1107882.02,145422.09,88.4,Loan,GRT-85457,2022-09-18,Compliant,BC-421,2021,USD,1.0
215,FND-00215,4,4,14,986,286943.95,232170.69,137820.13,94350.56,59.4,Grant,GRT-24274,2025-04-25,Compliant,BC-467,2024,USD,1.0
216,FND-00216,9,7,2,113,1597618.38,1496928.95,1190674.82,306254.13,79.5,In-Kind,GRT-27153,2023-03-30,Compliant,BC-435,2021,USD,1.0
217,FND-00217,2,2,15,821,218273.01,178919.53,107738.65,71180.88,60.2,Loan,GRT-78668,2025-03-12,Compliant,BC-580,2023,USD,1.0
218,FND-00218,5,8,8,28,1226258.52,703820.86,387763.83,316057.03,55.1,Pooled,GRT-32193,2023-01-06,Compliant,BC-679,2021,USD,1.0
219,FND-00219,6,1,6,1092,1702345.0,1522224.22,932901.13,589323.09,61.3,Loan,GRT-80498,2025-06-09,Compliant,BC-797,2024,USD,1.0
220,FND-00220,3,5,3,151,934740.04,318304.34,234448.99,83855.35,73.7,Grant,GRT-97257,2023-01-13,Non-Compliant,BC-256,2021,USD,1.0
221,FND-00221,3,7,15,1089,1984217.27,957700.66,506801.83,450898.83,52.9,Loan,GRT-94865,2025-12-01,Compliant,BC-297,2024,USD,1.0
222,FND-00222,9,4,5,1095,713960.43,326969.27,239238.41,87730.86,73.2,In-Kind,GRT-48047,2025-06-13,Compliant,BC-532,2024,USD,1.0
223,FND-00223,2,9,12,371,1779009.32,1220896.87,1154478.16,66418.71,94.6,Grant,GRT-43601,2023-04-27,Compliant,BC-244,2022,USD,1.0
224,FND-00224,6,1,11,983,268683.41,103909.17,85619.79,18289.38,82.4,Grant,GRT-53959,2025-05-06,Compliant,BC-477,2024,USD,1.0
225,FND-00225,8,8,15,869,531223.48,161112.66,109854.13,51258.53,68.2,Pooled,GRT-73100,2025-01-06,At Risk,BC-399,2023,USD,1.0
226,FND-00226,10,6,7,585,1170116.1,619775.08,348392.18,271382.9,56.2,Pooled,GRT-90377,2024-08-07,Compliant,BC-398,2023,USD,1.0
227,FND-00227,5,4,1,609,894044.23,673052.91,337775.5,335277.41,50.2,Grant,GRT-88407,2024-07-31,Compliant,BC-140,2023,USD,1.0
228,FND-00228,2,1,10,863,261662.3,130253.37,91181.64,39071.73,70.0,In-Kind,GRT-98286,2025-01-06,Compliant,BC-685,2023,USD,1.0
229,FND-00229,8,10,1,506,121040.42,43052.12,32861.87,10190.25,76.3,In-Kind,GRT-84849,2024-01-05,At Risk,BC-215,2022,USD,1.0
230,FND-00230,8,4,7,232,1685907.26,1264495.14,743475.04,521020.1,58.8,Pooled,GRT-23043,2023-06-01,At Risk,BC-148,2022,USD,1.0
231,FND-00231,2,1,2,556,108849.19,78230.8,77083.08,1147.72,98.5,Grant,GRT-29312,2024-05-12,Compliant,BC-423,2023,USD,1.0
232,FND-00232,4,9,6,117,1217214.25,1123911.74,1118664.66,5247.08,99.5,In-Kind,GRT-38199,2022-08-08,Compliant,BC-720,2021,USD,1.0
233,FND-00233,3,4,13,253,526968.96,485086.62,480991.38,4095.24,99.2,Loan,GRT-94166,2023-02-16,Compliant,BC-646,2022,USD,1.0
234,FND-00234,7,7,12,12,126918.85,105529.98,89685.91,15844.07,85.0,Grant,GRT-92196,2022-07-20,Compliant,BC-989,2021,USD,1.0
235,FND-00235,10,5,1,728,459750.68,142732.1,106126.39,36605.71,74.4,In-Kind,GRT-51353,2024-09-29,Compliant,BC-632,2023,USD,1.0
236,FND-00236,8,3,7,1047,902167.51,873714.57,609117.73,264596.84,69.7,Pooled,GRT-95655,2025-11-08,Compliant,BC-176,2024,USD,1.0
237,FND-00237,3,2,1,26,657450.85,198365.5,159092.46,39273.04,80.2,Grant,GRT-40242,2023-01-19,Compliant,BC-185,2021,USD,1.0
238,FND-00238,8,9,13,616,967661.57,929616.12,682841.54,246774.58,73.5,Loan,GRT-68275,2024-01-08,Compliant,BC-566,2023,USD,1.0
239,FND-00239,2,4,12,300,1769593.75,699712.45,509121.33,190591.12,72.8,Loan,GRT-11913,2023-05-14,Compliant,BC-584,2022,USD,1.0
240,FND-00240,5,2,15,565,1592217.45,980535.42,724420.18,256115.24,73.9,In-Kind,GRT-31138,2024-06-09,Compliant,BC-128,2023,USD,1.0
241,FND-00241,5,5,13,987,1766606.63,1154197.62,906850.43,247347.19,78.6,Loan,GRT-64847,2025-04-23,At Risk,BC-422,2024,USD,1.0
242,FND-00242,5,1,14,407,632561.41,369966.02,285981.92,83984.1,77.3,In-Kind,GRT-93567,2023-05-21,Non-Compliant,BC-375,2022,USD,1.0
243,FND-00243,8,2,2,502,103697.85,89508.82,76569.09,12939.73,85.5,Pooled,GRT-76668,2024-02-13,Compliant,BC-757,2022,USD,1.0
244,FND-00244,5,1,13,1096,548506.31,428374.41,385188.87,43185.54,89.9,Loan,GRT-20271,2025-03-31,At Risk,BC-164,2024,USD,1.0
245,FND-00245,1,7,15,712,196371.81,135225.0,132073.12,3151.88,97.7,Pooled,GRT-70327,2024-07-07,Compliant,BC-814,2023,USD,1.0
246,FND-00246,5,6,2,906,1048141.34,965303.99,630884.83,334419.16,65.4,Loan,GRT-97750,2025-03-23,Compliant,BC-725,2023,USD,1.0
247,FND-00247,2,8,12,333,1378901.47,954087.12,797566.46,156520.66,83.6,Loan,GRT-77398,2023-10-10,Non-Compliant,BC-467,2022,USD,1.0
248,FND-00248,10,7,10,437,1236192.13,825737.63,703551.27,122186.36,85.2,Loan,GRT-46057,2023-08-24,Compliant,BC-659,2022,USD,1.0
249,FND-00249,3,7,14,1002,1165410.98,1112942.84,917141.37,195801.47,82.4,Grant,GRT-17115,2025-05-14,Compliant,BC-544,2024,USD,1.0
250,FND-00250,7,9,7,542,1125954.98,1118258.9,873923.71,244335.19,78.2,In-Kind,GRT-99606,2023-11-15,Compliant,BC-497,2022,USD,1.0
251,FND-00251,9,9,1,449,351268.09,141729.87,134898.92,6830.95,95.2,Grant,GRT-69953,2023-07-08,Compliant,BC-541,2022,USD,1.0
252,FND-00252,8,8,15,762,1965740.64,1193749.0,696903.43,496845.57,58.4,In-Kind,GRT-83624,2024-07-12,Compliant,BC-456,2023,USD,1.0
253,FND-00253,5,3,6,1089,915925.05,519948.64,488603.92,31344.72,94.0,Grant,GRT-94178,2025-10-08,Compliant,BC-675,2024,USD,1.0
254,FND-00254,2,4,9,392,1355656.81,1104772.09,713844.19,390927.9,64.6,Pooled,GRT-87328,2023-09-21,Compliant,BC-750,2022,USD,1.0
255,FND-00255,9,4,12,1084,918250.31,739595.9,578688.64,160907.26,78.2,Grant,GRT-70785,2025-06-04,Compliant,BC-461,2024,USD,1.0
256,FND-00256,1,9,9,1068,1655004.54,1382745.39,863904.85,518840.54,62.5,Grant,GRT-31668,2025-09-03,Compliant,BC-860,2024,USD,1.0
257,FND-00257,4,5,8,928,157387.75,100915.46,87686.63,13228.83,86.9,Loan,GRT-19353,2024-11-28,Compliant,BC-572,2024,USD,1.0
258,FND-00258,2,10,9,632,1927926.71,1453134.71,999365.8,453768.91,68.8,In-Kind,GRT-23076,2024-09-21,At Risk,BC-480,2023,USD,1.0
259,FND-00259,9,3,3,998,1474895.36,694466.43,621522.31,72944.12,89.5,In-Kind,GRT-68840,2025-05-12,At Risk,BC-507,2024,USD,1.0
260,FND-00260,1,9,11,28,1332124.16,898916.52,644876.63,254039.89,71.7,Pooled,GRT-50444,2022-05-01,Compliant,BC-750,2021,USD,1.0
261,FND-00261,1,1,9,1078,1739496.99,1412734.28,851718.23,561016.05,60.3,Loan,GRT-65288,2025-07-14,Compliant,BC-856,2024,USD,1.0
262,FND-00262,10,9,11,720,618436.2,510585.62,481215.35,29370.27,94.2,In-Kind,GRT-63028,2024-08-11,Non-Compliant,BC-433,2023,USD,1.0
263,FND-00263,3,1,9,311,968101.36,346014.58,206925.81,139088.77,59.8,In-Kind,GRT-99726,2023-09-17,Compliant,BC-812,2022,USD,1.0
264,FND-00264,5,5,3,966,1953504.59,1872215.7,1364255.91,507959.79,72.9,Pooled,GRT-54625,2025-04-19,Compliant,BC-141,2024,USD,1.0
265,FND-00265,5,4,10,558,1603592.71,975919.58,865215.2,110704.38,88.7,In-Kind,GRT-73193,2024-01-26,Non-Compliant,BC-954,2023,USD,1.0
266,FND-00266,10,5,12,261,49500.09,40050.97,36939.88,3111.09,92.2,In-Kind,GRT-14732,2023-08-25,Compliant,BC-900,2022,USD,1.0
267,FND-00267,2,4,14,241,539759.87,492366.24,402763.31,89602.93,81.8,Pooled,GRT-19519,2023-05-30,Compliant,BC-690,2022,USD,1.0
268,FND-00268,7,8,11,544,1834532.18,768229.03,463569.36,304659.67,60.3,Loan,GRT-98991,2024-01-23,At Risk,BC-720,2022,USD,1.0
269,FND-00269,3,4,13,454,770176.85,550538.23,275357.02,275181.21,50.0,In-Kind,GRT-69034,2023-07-24,Compliant,BC-597,2022,USD,1.0
270,FND-00270,2,1,6,803,1991406.07,1739267.27,1153945.14,585322.13,66.3,Pooled,GRT-68785,2025-01-10,Compliant,BC-392,2023,USD,1.0
271,FND-00271,2,2,4,376,1947935.5,1343096.52,1290222.07,52874.45,96.1,Grant,GRT-76366,2023-07-11,At Risk,BC-531,2022,USD,1.0
272,FND-00272,3,1,1,1029,1125237.8,719714.57,495105.09,224609.48,68.8,In-Kind,GRT-22984,2025-04-12,Compliant,BC-557,2024,USD,1.0
273,FND-00273,5,9,9,863,633646.63,274272.51,237068.09,37204.42,86.4,In-Kind,GRT-29451,2025-01-25,Compliant,BC-229,2023,USD,1.0
274,FND-00274,7,8,13,860,1628779.03,647925.74,521330.17,126595.57,80.5,Pooled,GRT-27799,2024-11-09,Compliant,BC-309,2023,USD,1.0
275,FND-00275,1,3,8,834,1180414.85,1150750.18,718030.36,432719.82,62.4,Grant,GRT-35913,2024-11-05,Compliant,BC-459,2023,USD,1.0
276,FND-00276,7,2,6,841,311241.0,288513.23,239472.13,49041.1,83.0,Pooled,GRT-89989,2024-10-14,Compliant,BC-926,2023,USD,1.0
277,FND-00277,2,9,3,312,828320.73,576938.4,392475.9,184462.5,68.0,Pooled,GRT-24213,2023-02-08,Compliant,BC-605,2022,USD,1.0
278,FND-00278,10,2,12,741,1149404.93,812109.06,502004.66,310104.4,61.8,Loan,GRT-45646,2024-07-25,Compliant,BC-763,2023,USD,1.0
279,FND-00279,6,3,2,594,1058393.33,959263.86,723699.25,235564.61,75.4,Grant,GRT-69184,2024-08-10,Compliant,BC-147,2023,USD,1.0
280,FND-00280,7,4,15,144,1247793.17,451685.1,373777.68,77907.42,82.8,Loan,GRT-20933,2022-09-14,Compliant,BC-922,2021,USD,1.0
281,FND-00281,1,9,11,736,1189862.95,1040028.91,788840.05,251188.86,75.8,Loan,GRT-91938,2024-09-07,Compliant,BC-611,2023,USD,1.0
282,FND-00282,2,3,15,43,1082898.22,419283.01,277507.78,141775.23,66.2,Loan,GRT-35900,2022-06-24,Compliant,BC-663,2021,USD,1.0
283,FND-00283,7,5,13,847,1587360.73,1038561.36,655475.24,383086.12,63.1,In-Kind,GRT-72261,2024-08-16,Compliant,BC-969,2023,USD,1.0
284,FND-00284,2,10,2,932,1138537.69,960490.45,633057.61,327432.84,65.9,Loan,GRT-91760,2025-07-05,Compliant,BC-613,2024,USD,1.0
285,FND-00285,4,7,7,467,793995.86,745234.07,375717.12,369516.95,50.4,In-Kind,GRT-91630,2023-11-12,Compliant,BC-228,2022,USD,1.0
286,FND-00286,7,4,8,343,372100.7,195110.72,147931.9,47178.82,75.8,Loan,GRT-67179,2023-03-19,Compliant,BC-317,2022,USD,1.0
287,FND-00287,8,5,9,1026,1674505.14,1169194.88,866766.8,302428.08,74.1,Pooled,GRT-61522,2025-07-29,Compliant,BC-408,2024,USD,1.0
288,FND-00288,4,2,3,912,1137308.74,459391.55,338132.97,121258.58,73.6,Grant,GRT-28643,2024-11-24,Compliant,BC-463,2023,USD,1.0
289,FND-00289,2,1,10,287,1572087.74,1369988.01,1064882.58,305105.43,77.7,Pooled,GRT-32455,2023-09-14,Compliant,BC-781,2022,USD,1.0
290,FND-00290,3,6,9,696,255972.7,214688.03,205678.22,9009.81,95.8,In-Kind,GRT-43486,2024-09-18,Compliant,BC-803,2023,USD,1.0
291,FND-00291,10,9,1,213,1654943.36,501057.02,459315.9,41741.12,91.7,Pooled,GRT-39664,2022-11-17,Compliant,BC-805,2022,USD,1.0
292,FND-00292,4,9,8,729,712778.13,268133.54,163106.3,105027.24,60.8,Grant,GRT-79745,2024-05-01,Compliant,BC-792,2023,USD,1.0
293,FND-00293,6,3,12,394,1788695.45,1567150.79,1163866.75,403284.04,74.3,Loan,GRT-72565,2023-06-01,Compliant,BC-572,2022,USD,1.0
294,FND-00294,1,3,4,450,82535.33,35740.96,35132.49,608.47,98.3,Grant,GRT-48005,2024-01-13,At Risk,BC-438,2022,USD,1.0
295,FND-00295,5,2,8,23,1729801.59,1204913.08,1134623.76,70289.32,94.2,Pooled,GRT-16694,2023-01-20,Non-Compliant,BC-222,2021,USD,1.0
296,FND-00296,7,6,10,888,1918388.41,983101.04,625260.71,357840.33,63.6,Loan,GRT-36577,2024-12-25,Compliant,BC-679,2023,USD,1.0
297,FND-00297,8,6,14,128,791488.73,775450.62,550144.23,225306.39,70.9,Pooled,GRT-91625,2022-08-24,Compliant,BC-290,2021,USD,1.0
298,FND-00298,4,8,6,829,1135064.0,342730.18,223587.89,119142.29,65.2,In-Kind,GRT-81170,2024-12-16,Compliant,BC-712,2023,USD,1.0
299,FND-00299,7,8,1,183,420413.83,153949.37,144010.66,9938.71,93.5,Pooled,GRT-73795,2022-11-11,Compliant,BC-301,2022,USD,1.0
300,FND-00300,2,10,4,163,1095139.7,346498.4,176133.53,170364.87,50.8,Grant,GRT-13736,2023-02-26,At Risk,BC-627,2021,USD,1.0
301,FND-00301,10,10,6,654,1764197.96,1424688.05,963562.7,461125.35,67.6,Grant,GRT-54926,2024-03-19,At Risk,BC-596,2023,USD,1.0
302,FND-00302,9,1,2,215,125094.5,82921.72,44359.27,38562.45,53.5,Grant,GRT-92267,2022-11-20,Compliant,BC-638,2022,USD,1.0
303,FND-00303,5,9,10,519,102724.43,50594.17,46671.6,3922.57,92.2,Grant,GRT-49066,2024-05-29,Compliant,BC-731,2022,USD,1.0
304,FND-00304,5,5,10,1076,950036.82,546784.93,505373.64,41411.29,92.4,In-Kind,GRT-77332,2025-12-05,Non-Compliant,BC-319,2024,USD,1.0
305,FND-00305,8,10,13,1074,1921873.36,1145650.38,713593.84,432056.54,62.3,Loan,GRT-86104,2025-04-13,Compliant,BC-462,2024,USD,1.0
306,FND-00306,5,3,15,970,980566.91,755095.37,679258.18,75837.19,90.0,Pooled,GRT-68680,2025-08-08,Compliant,BC-133,2024,USD,1.0
307,FND-00307,7,9,12,630,68461.43,29608.92,20398.73,9210.19,68.9,Loan,GRT-38157,2024-02-27,Compliant,BC-560,2023,USD,1.0
308,FND-00308,9,10,9,52,714370.62,315010.77,304018.7,10992.07,96.5,Pooled,GRT-64310,2022-11-01,Compliant,BC-483,2021,USD,1.0
309,FND-00309,8,8,8,571,289741.22,185055.85,146164.65,38891.2,79.0,Grant,GRT-26838,2024-07-05,Compliant,BC-155,2023,USD,1.0
310,FND-00310,2,6,4,397,276240.66,179844.76,162613.92,17230.84,90.4,In-Kind,GRT-90190,2024-01-02,Compliant,BC-443,2022,USD,1.0
311,FND-00311,1,5,2,636,1399321.07,1020389.72,779630.72,240759.0,76.4,Grant,GRT-69855,2024-01-02,Compliant,BC-778,2023,USD,1.0
312,FND-00312,7,5,14,109,483926.43,358544.91,197096.13,161448.78,55.0,In-Kind,GRT-34153,2023-03-02,Compliant,BC-828,2021,USD,1.0
313,FND-00313,10,5,9,926,905351.05,632680.18,461101.95,171578.23,72.9,Loan,GRT-42588,2024-12-31,At Risk,BC-216,2024,USD,1.0
314,FND-00314,1,1,4,850,977069.45,747522.02,732153.44,15368.58,97.9,Pooled,GRT-42782,2025-04-15,Compliant,BC-592,2023,USD,1.0
315,FND-00315,8,2,2,77,1964370.5,930741.58,779171.41,151570.17,83.7,Loan,GRT-24710,2023-01-15,Compliant,BC-672,2021,USD,1.0
316,FND-00316,10,6,15,1034,642710.84,361224.77,217086.61,144138.16,60.1,Pooled,GRT-80417,2025-09-03,Compliant,BC-747,2024,USD,1.0
317,FND-00317,8,2,8,940,1363671.7,1059714.45,707071.71,352642.74,66.7,Grant,GRT-94569,2024-12-07,Compliant,BC-763,2024,USD,1.0
318,FND-00318,1,9,5,35,571677.43,291118.05,252900.84,38217.21,86.9,Grant,GRT-60269,2022-05-15,Compliant,BC-908,2021,USD,1.0
319,FND-00319,2,3,13,135,1454606.7,808261.43,504001.29,304260.14,62.4,Loan,GRT-66917,2022-09-08,Non-Compliant,BC-625,2021,USD,1.0
320,FND-00320,10,3,7,792,1612738.27,505075.96,266824.36,238251.6,52.8,Grant,GRT-66141,2024-06-05,Compliant,BC-901,2023,USD,1.0
321,FND-00321,3,7,10,441,465671.38,383356.45,365427.02,17929.43,95.3,Loan,GRT-96515,2024-02-10,Compliant,BC-436,2022,USD,1.0
322,FND-00322,9,6,4,739,1310539.46,879987.0,824102.47,55884.53,93.6,In-Kind,GRT-64818,2024-04-26,Compliant,BC-425,2023,USD,1.0
323,FND-00323,10,4,9,27,1375164.95,449431.25,445187.15,4244.1,99.1,Grant,GRT-11696,2022-08-11,At Risk,BC-809,2021,USD,1.0
324,FND-00324,7,4,15,735,1749713.36,1497628.97,1311624.13,186004.84,87.6,Grant,GRT-94843,2024-08-15,At Risk,BC-714,2023,USD,1.0
325,FND-00325,3,2,3,1039,1622963.81,634238.68,363744.66,270494.02,57.4,Grant,GRT-49400,2025-08-24,Compliant,BC-621,2024,USD,1.0
326,FND-00326,6,6,13,1059,1863984.33,1571442.57,874003.41,697439.16,55.6,Loan,GRT-46749,2025-05-27,Compliant,BC-743,2024,USD,1.0
327,FND-00327,3,9,11,972,1746583.7,536645.45,517112.7,19532.75,96.4,Loan,GRT-80863,2025-03-15,Compliant,BC-563,2024,USD,1.0
328,FND-00328,6,6,13,370,1909872.7,771663.16,764717.13,6946.03,99.1,Loan,GRT-94156,2023-10-19,At Risk,BC-263,2022,USD,1.0
329,FND-00329,3,6,8,90,747358.21,445997.04,261975.28,184021.76,58.7,In-Kind,GRT-52562,2023-02-06,Compliant,BC-299,2021,USD,1.0
330,FND-00330,7,1,5,746,129695.13,42186.21,33040.48,9145.73,78.3,Pooled,GRT-51950,2024-05-18,Compliant,BC-497,2023,USD,1.0
331,FND-00331,10,6,12,797,974089.63,699661.53,451223.63,248437.9,64.5,Loan,GRT-50471,2024-08-17,Compliant,BC-481,2023,USD,1.0
332,FND-00332,5,9,4,404,700137.01,576800.65,345658.25,231142.4,59.9,Loan,GRT-98352,2024-02-05,At Risk,BC-333,2022,USD,1.0
333,FND-00333,3,6,7,868,841203.83,269100.28,174897.34,94202.94,65.0,Grant,GRT-42726,2025-05-01,Compliant,BC-104,2023,USD,1.0
334,FND-00334,8,10,5,166,184485.34,165416.52,116444.3,48972.22,70.4,Loan,GRT-16818,2023-01-16,Compliant,BC-702,2021,USD,1.0
335,FND-00335,2,4,11,739,1099063.07,401963.54,216482.33,185481.21,53.9,In-Kind,GRT-31814,2024-10-23,Compliant,BC-548,2023,USD,1.0
336,FND-00336,7,6,9,1027,355960.28,131994.62,95846.18,36148.44,72.6,Pooled,GRT-81391,2025-07-24,Compliant,BC-885,2024,USD,1.0
337,FND-00337,2,5,2,407,1668085.03,1615328.12,1081157.21,534170.91,66.9,Loan,GRT-69387,2023-08-18,At Risk,BC-162,2022,USD,1.0
338,FND-00338,2,6,9,685,1767928.43,1575115.07,1119269.37,455845.7,71.1,Grant,GRT-67175,2024-07-19,Compliant,BC-400,2023,USD,1.0
339,FND-00339,5,7,7,820,1433360.84,1098408.36,1017268.51,81139.85,92.6,In-Kind,GRT-26177,2025-02-02,Compliant,BC-374,2023,USD,1.0
340,FND-00340,6,2,13,356,69185.74,66513.68,35532.62,30981.06,53.4,In-Kind,GRT-82729,2023-05-12,At Risk,BC-267,2022,USD,1.0
341,FND-00341,9,1,10,718,890643.41,560959.93,387668.52,173291.41,69.1,Loan,GRT-74233,2024-08-10,Compliant,BC-607,2023,USD,1.0
342,FND-00342,9,3,8,600,489050.77,316759.49,229188.75,87570.74,72.4,Pooled,GRT-85474,2024-01-30,Compliant,BC-725,2023,USD,1.0
343,FND-00343,6,4,12,888,402358.81,314631.88,217496.66,97135.22,69.1,In-Kind,GRT-17838,2025-06-02,At Risk,BC-150,2023,USD,1.0
344,FND-00344,7,7,8,707,245937.17,174299.34,163935.08,10364.26,94.1,Pooled,GRT-28656,2024-10-11,Compliant,BC-667,2023,USD,1.0
345,FND-00345,6,3,6,380,1152351.32,792489.45,707735.17,84754.28,89.3,Loan,GRT-43730,2023-09-21,Compliant,BC-580,2022,USD,1.0
