distribution_sk,distribution_id,beneficiary_sk,location_sk,program_sk,time_sk,aid_type,quantity_distributed,unit_cost_usd,total_cost_usd,planned_date,actual_date,delay_days,delivery_status,transport_mode,distribution_point,staff_id,verification_method,beneficiary_confirmed,data_quality_flag,notes
972,DIST-000972,1671,4,10,570,Winterization Kit,11,75,825,2023-07-24,2023-07-31,7,Failed,Truck,DP-31,STF-168,List-based,1,0,
973,DIST-000973,1598,5,3,361,Shelter Kit,17,250,4250,2022-12-27,2022-12-29,2,Completed,Air,DP-45,STF-039,Biometric,1,0,
974,DIST-000974,1650,1,7,129,Winterization Kit,34,75,2550,2022-05-09,2022-05-10,1,In Transit,Handcarry,DP-34,STF-151,Voucher,1,0,
975,DIST-000975,1565,13,5,704,Shelter Kit,41,250,10250,2023-12-05,2023-12-12,7,Completed,Truck,DP-09,STF-144,List-based,1,0,
976,DIST-000976,3016,5,1,1039,Winterization Kit,1,75,75,2024-11-04,2024-11-13,9,Completed,Truck,DP-37,STF-051,Biometric,0,0,
977,DIST-000977,2677,12,4,478,Cash Transfer,37,100,3700,2023-04-23,2023-04-23,0,Failed,Handcarry,DP-09,STF-049,Voucher,1,0,
978,DIST-000978,2002,14,10,746,Medical Supplies,16,120,1920,2024-01-16,2024-01-19,3,In Transit,Handcarry,DP-44,STF-134,Token,1,0,
979,DIST-000979,484,6,9,471,WASH Kit,36,60,2160,2023-04-16,2023-04-26,10,Completed,Boat,DP-37,STF-192,Biometric,1,1,
980,DIST-000980,2739,6,10,25,Cash Transfer,23,100,2300,2022-01-25,2022-02-01,7,Completed,Boat,DP-26,STF-078,Voucher,1,0,
981,DIST-000981,1964,1,7,108,Education Kit,19,35,665,2022-04-18,2022-04-22,4,Completed,Handcarry,DP-04,STF-076,Voucher,1,1,
982,DIST-000982,2389,10,3,223,Shelter Kit,29,250,7250,2022-08-11,2022-08-14,3,Completed,Handcarry,DP-32,STF-198,Voucher,1,1,
983,DIST-000983,930,13,1,919,Medical Supplies,1,120,120,2024-07-07,2024-07-14,7,Completed,Handcarry,DP-01,STF-070,Biometric,1,0,
984,DIST-000984,3730,1,6,959,Winterization Kit,14,75,1050,2024-08-16,2024-08-24,8,Completed,Truck,DP-47,STF-045,Token,1,1,
985,DIST-000985,2602,3,3,865,WASH Kit,32,60,1920,2024-05-14,2024-05-15,1,Completed,Truck,DP-16,STF-039,Voucher,1,0,
986,DIST-000986,4163,14,9,452,Education Kit,40,35,1400,2023-03-28,2023-04-03,6,Delayed,Handcarry,DP-28,STF-008,Token,1,0,
987,DIST-000987,2637,2,10,632,Winterization Kit,11,75,825,2023-09-24,2023-09-25,1,Partial,Handcarry,DP-36,STF-088,List-based,1,0,
988,DIST-000988,4642,12,7,428,Cash Transfer,41,100,4100,2023-03-04,2023-03-09,5,Completed,Air,DP-47,STF-080,Biometric,1,0,
989,DIST-000989,4670,14,5,1018,NFI Kit,41,85,3485,2024-10-14,2024-10-17,3,Partial,Truck,DP-44,STF-139,Biometric,1,0,
990,DIST-000990,3328,5,6,476,WASH Kit,5,60,300,2023-04-21,2023-04-30,9,Partial,Truck,DP-31,STF-171,Voucher,0,0,
991,DIST-000991,2041,14,6,616,Medical Supplies,40,120,4800,2023-09-08,2023-09-13,5,Completed,Truck,DP-29,STF-141,Biometric,1,0,
992,DIST-000992,3708,3,3,650,Medical Supplies,31,120,3720,2023-10-12,2023-10-14,2,Partial,Air,DP-27,STF-052,Token,1,1,
993,DIST-000993,4605,2,7,959,Cash Transfer,13,100,1300,2024-08-16,2024-08-24,8,Partial,Air,DP-22,STF-135,Biometric,0,0,
994,DIST-000994,1257,13,6,60,Shelter Kit,42,250,10500,2022-03-01,2022-03-01,0,In Transit,Air,DP-21,STF-117,Voucher,1,0,
995,DIST-000995,1640,13,2,147,WASH Kit,31,60,1860,2022-05-27,2022-06-12,16,Delayed,Truck,DP-20,STF-068,List-based,1,0,
996,DIST-000996,3995,10,10,938,Shelter Kit,15,250,3750,2024-07-26,2024-07-31,5,Completed,Air,DP-11,STF-125,Biometric,1,0,
997,DIST-000997,2876,5,7,955,WASH Kit,3,60,180,2024-08-12,2024-08-15,3,Completed,Truck,DP-12,STF-168,Biometric,1,0,
998,DIST-000998,1333,13,6,830,Medical Supplies,11,120,1320,2024-04-09,2024-04-11,2,Completed,Truck,DP-42,STF-074,Voucher,1,0,
999,DIST-000999,2144,15,1,953,NFI Kit,34,85,2890,2024-08-10,2024-08-14,4,In Transit,Boat,DP-04,STF-020,Voucher,0,0,
1000,DIST-001000,4593,6,1,606,Medical Supplies,10,120,1200,2023-08-29,2023-09-02,4,Delayed,Boat,DP-48,STF-177,Token,1,0,
1001,DIST-001001,4965,3,7,464,Shelter Kit,18,250,4500,2023-04-09,2023-04-22,13,Delayed,Air,DP-07,STF-006,Voucher,1,0,
1002,DIST-001002,4009,1,10,276,Education Kit,42,35,1470,2022-10-03,2022-10-11,8,Completed,Air,DP-41,STF-092,Token,1,0,
1003,DIST-001003,3469,15,9,963,NFI Kit,1,85,85,2024-08-20,2024-08-29,9,Completed,Air,DP-30,STF-149,Token,1,0,
1004,DIST-001004,2067,3,10,437,Food Ration,32,45,1440,2023-03-13,2023-03-19,6,Completed,Truck,DP-08,STF-115,List-based,1,0,
1005,DIST-001005,3699,6,5,979,WASH Kit,3,60,180,2024-09-05,2024-09-06,1,Completed,Handcarry,DP-41,STF-178,Biometric,1,0,
1006,DIST-001006,115,7,5,876,Education Kit,36,35,1260,2024-05-25,2024-05-27,2,Completed,Truck,DP-02,STF-054,Biometric,1,0,
1007,DIST-001007,2517,12,1,944,Winterization Kit,26,75,1950,2024-08-01,2024-08-10,9,Completed,Boat,DP-19,STF-074,Biometric,1,0,
1008,DIST-001008,1332,13,8,404,Cash Transfer,37,100,3700,2023-02-08,2023-02-12,4,Completed,Truck,DP-36,STF-005,List-based,1,0,
1009,DIST-001009,3440,1,5,836,NFI Kit,4,85,340,2024-04-15,2024-04-23,8,Partial,Handcarry,DP-15,STF-141,List-based,1,0,
1010,DIST-001010,1890,6,7,205,Shelter Kit,13,250,3250,2022-07-24,2022-07-31,7,In Transit,Handcarry,DP-33,STF-037,List-based,1,0,
1011,DIST-001011,2308,2,6,1039,Winterization Kit,20,75,1500,2024-11-04,2024-11-06,2,Failed,Boat,DP-21,STF-115,List-based,1,0,
1012,DIST-001012,256,4,6,1084,Education Kit,23,35,805,2024-12-19,2024-12-31,12,Delayed,Truck,DP-13,STF-148,Biometric,0,0,
1013,DIST-001013,2035,14,5,562,NFI Kit,37,85,3145,2023-07-16,2023-07-18,2,Completed,Truck,DP-12,STF-193,Voucher,1,0,
1014,DIST-001014,68,4,8,296,Medical Supplies,10,120,1200,2022-10-23,2022-10-31,8,Delayed,Handcarry,DP-04,STF-174,Voucher,0,0,
1015,DIST-001015,3470,3,1,722,Cash Transfer,2,100,200,2023-12-23,2023-12-31,8,Partial,Boat,DP-07,STF-007,Token,0,0,
1016,DIST-001016,1143,6,4,947,Medical Supplies,36,120,4320,2024-08-04,2024-08-14,10,Completed,Handcarry,DP-31,STF-053,Token,1,0,
1017,DIST-001017,3861,9,6,906,NFI Kit,11,85,935,2024-06-24,2024-07-04,10,Completed,Truck,DP-47,STF-069,Voucher,0,0,
1018,DIST-001018,1534,12,5,900,Medical Supplies,36,120,4320,2024-06-18,2024-06-28,10,Failed,Handcarry,DP-39,STF-023,Biometric,1,0,
1019,DIST-001019,2453,15,8,213,WASH Kit,22,60,1320,2022-08-01,2022-08-19,18,Delayed,Boat,DP-41,STF-051,Token,1,0,
1020,DIST-001020,278,15,2,515,NFI Kit,48,85,4080,2023-05-30,2023-06-05,6,Completed,Air,DP-36,STF-097,List-based,1,0,
1021,DIST-001021,406,8,8,258,Medical Supplies,36,120,4320,2022-09-15,2022-09-25,10,Completed,Truck,DP-43,STF-058,Token,1,0,
1022,DIST-001022,3691,7,6,500,Cash Transfer,28,100,2800,2023-05-15,2023-05-24,9,Completed,Handcarry,DP-10,STF-152,Voucher,1,0,
1023,DIST-001023,4442,1,2,155,WASH Kit,23,60,1380,2022-06-04,2022-06-09,5,Completed,Handcarry,DP-49,STF-067,List-based,0,0,
1024,DIST-001024,704,15,9,452,Winterization Kit,7,75,525,2023-03-28,2023-04-01,4,Completed,Handcarry,DP-19,STF-154,Biometric,0,0,
1025,DIST-001025,3032,3,9,500,Medical Supplies,16,120,1920,2023-05-15,2023-05-18,3,Failed,Handcarry,DP-10,STF-051,Biometric,1,0,
1026,DIST-001026,3786,3,1,822,NFI Kit,25,85,2125,2024-04-01,2024-04-10,9,Failed,Air,DP-08,STF-137,List-based,1,0,
1027,DIST-001027,1164,9,7,208,WASH Kit,15,60,900,2022-07-27,2022-08-12,16,Delayed,Air,DP-38,STF-068,Token,1,0,
1028,DIST-001028,4797,4,5,521,Food Ration,38,45,1710,2023-06-05,2023-06-08,3,Partial,Boat,DP-10,STF-099,Voucher,0,0,
1029,DIST-001029,4596,5,5,629,Medical Supplies,1,120,120,2023-09-21,2023-09-21,0,Completed,Boat,DP-20,STF-087,Token,1,0,
1030,DIST-001030,4017,11,8,462,NFI Kit,36,85,3060,2023-04-07,2023-04-14,7,Completed,Boat,DP-42,STF-194,Token,0,0,
1031,DIST-001031,1595,13,8,49,Shelter Kit,22,250,5500,2022-02-18,2022-03-08,18,Delayed,Truck,DP-02,STF-119,Biometric,0,0,
1032,DIST-001032,307,6,6,837,NFI Kit,28,85,2380,2024-04-16,2024-04-18,2,Completed,Air,DP-13,STF-020,List-based,0,0,
1033,DIST-001033,105,1,3,316,Winterization Kit,26,75,1950,2022-11-12,2022-11-19,7,Completed,Handcarry,DP-26,STF-194,Token,1,0,
1034,DIST-001034,2428,5,4,424,Shelter Kit,30,250,7500,2023-02-28,2023-03-07,7,In Transit,Handcarry,DP-48,STF-044,Voucher,0,0,
1035,DIST-001035,3658,7,4,789,Education Kit,8,35,280,2024-02-28,2024-02-28,0,Completed,Boat,DP-23,STF-160,Token,0,0,
1036,DIST-001036,468,14,5,987,Shelter Kit,40,250,10000,2024-09-13,2024-09-13,0,Completed,Handcarry,DP-42,STF-154,Voucher,1,0,
1037,DIST-001037,3057,2,6,255,Education Kit,22,35,770,2022-09-12,2022-09-14,2,In Transit,Air,DP-30,STF-172,Biometric,1,0,
1038,DIST-001038,89,11,9,530,Shelter Kit,28,250,7000,2023-06-14,2023-06-23,9,Completed,Air,DP-13,STF-143,Voucher,1,0,
1039,DIST-001039,4591,3,8,111,Education Kit,43,35,1505,2022-04-21,2022-05-01,10,In Transit,Handcarry,DP-13,STF-174,Biometric,1,1,
1040,DIST-001040,1581,6,1,468,Winterization Kit,34,75,2550,2023-04-13,2023-04-18,5,In Transit,Truck,DP-20,STF-019,Voucher,1,0,
1041,DIST-001041,200,2,10,137,Education Kit,32,35,1120,2022-05-17,2022-05-20,3,In Transit,Handcarry,DP-35,STF-082,Voucher,1,0,
1042,DIST-001042,3406,15,8,636,Cash Transfer,8,100,800,2023-09-28,2023-10-06,8,Completed,Boat,DP-38,STF-171,Token,1,0,
1043,DIST-001043,4255,1,1,622,Cash Transfer,5,100,500,2023-09-14,2023-09-19,5,Partial,Air,DP-06,STF-043,List-based,1,0,
1044,DIST-001044,3948,7,7,981,Education Kit,45,35,1575,2024-09-07,2024-09-16,9,Partial,Handcarry,DP-49,STF-098,List-based,1,0,
1045,DIST-001045,1860,4,8,1059,Medical Supplies,8,120,960,2024-11-24,2024-12-01,7,Completed,Boat,DP-29,STF-103,Biometric,1,0,
1046,DIST-001046,1562,8,8,962,WASH Kit,16,60,960,2024-08-19,2024-08-25,6,Completed,Boat,DP-06,STF-070,List-based,1,0,
1047,DIST-001047,4391,8,10,757,Food Ration,12,45,540,2024-01-27,2024-01-29,2,Completed,Truck,DP-40,STF-156,Voucher,1,0,
1048,DIST-001048,8,2,3,747,Winterization Kit,23,75,1725,2024-01-17,2024-01-23,6,Completed,Handcarry,DP-46,STF-015,Biometric,1,0,
1049,DIST-001049,1088,1,2,942,Food Ration,36,45,1620,2024-07-30,2024-08-02,3,Completed,Boat,DP-07,STF-031,Token,1,0,
1050,DIST-001050,73,1,2,152,Medical Supplies,4,120,480,2022-06-01,2022-06-04,3,Completed,Boat,DP-49,STF-173,Voucher,0,1,
1051,DIST-001051,3347,1,6,45,Food Ration,33,45,1485,2022-02-14,2022-02-17,3,Completed,Boat,DP-06,STF-154,Token,1,0,
1052,DIST-001052,4906,13,2,639,Shelter Kit,17,250,4250,2023-10-01,2023-10-07,6,Completed,Truck,DP-47,STF-093,Token,1,0,
1053,DIST-001053,1621,13,9,130,WASH Kit,31,60,1860,2022-05-10,2022-05-18,8,Completed,Boat,DP-13,STF-136,Voucher,1,0,
1054,DIST-001054,923,12,5,259,WASH Kit,6,60,360,2022-09-16,2022-09-24,8,Completed,Handcarry,DP-16,STF-026,Voucher,0,0,
1055,DIST-001055,3841,7,9,750,Education Kit,45,35,1575,2024-01-20,2024-01-23,3,Completed,Handcarry,DP-45,STF-153,List-based,0,0,
1056,DIST-001056,2641,12,9,67,Education Kit,28,35,980,2022-03-08,2022-03-09,1,Completed,Handcarry,DP-14,STF-177,List-based,0,0,
1057,DIST-001057,4271,12,5,776,Food Ration,8,45,360,2024-02-15,2024-02-16,1,Completed,Truck,DP-33,STF-073,Voucher,0,1,
1058,DIST-001058,1286,12,1,254,NFI Kit,4,85,340,2022-09-11,2022-09-14,3,Completed,Boat,DP-38,STF-083,Token,1,0,
1059,DIST-001059,3084,6,3,458,NFI Kit,47,85,3995,2023-04-03,2023-04-06,3,In Transit,Air,DP-29,STF-102,Biometric,0,0,
1060,DIST-001060,1190,1,7,934,WASH Kit,1,60,60,2024-07-22,2024-07-23,1,In Transit,Handcarry,DP-47,STF-168,Voucher,0,1,
1061,DIST-001061,501,10,9,193,WASH Kit,28,60,1680,2022-07-12,2022-07-28,16,Delayed,Air,DP-47,STF-047,Voucher,1,0,
1062,DIST-001062,3275,8,4,884,WASH Kit,44,60,2640,2024-06-02,2024-06-02,0,Completed,Truck,DP-49,STF-145,Token,1,0,
1063,DIST-001063,186,13,3,184,NFI Kit,30,85,2550,2022-07-03,2022-07-04,1,Completed,Handcarry,DP-16,STF-018,Token,1,0,
1064,DIST-001064,1825,10,10,196,NFI Kit,43,85,3655,2022-07-15,2022-07-18,3,Completed,Boat,DP-02,STF-156,List-based,0,0,
1065,DIST-001065,1518,7,10,596,Medical Supplies,9,120,1080,2023-08-19,2023-08-25,6,Completed,Air,DP-17,STF-039,Token,0,0,
1066,DIST-001066,2272,14,8,36,NFI Kit,43,85,3655,2022-02-05,2022-02-08,3,Completed,Air,DP-33,STF-161,Biometric,1,0,
1067,DIST-001067,1823,1,3,56,Winterization Kit,4,75,300,2022-02-25,2022-03-14,17,Delayed,Truck,DP-40,STF-200,Voucher,1,0,
1068,DIST-001068,2040,11,4,939,Education Kit,8,35,280,2024-07-27,2024-08-05,9,Completed,Air,DP-13,STF-141,Biometric,1,0,
1069,DIST-001069,3619,11,10,573,WASH Kit,6,60,360,2023-07-27,2023-08-10,14,Delayed,Air,DP-16,STF-198,List-based,0,0,
1070,DIST-001070,3744,13,7,44,Cash Transfer,15,100,1500,2022-02-13,2022-02-23,10,Completed,Air,DP-29,STF-181,Biometric,1,0,
1071,DIST-001071,3208,4,5,215,Shelter Kit,19,250,4750,2022-08-03,2022-08-12,9,Failed,Truck,DP-45,STF-022,List-based,1,0,
1072,DIST-001072,1549,9,4,687,NFI Kit,43,85,3655,2023-11-18,2023-11-18,0,Completed,Truck,DP-08,STF-045,Biometric,1,0,
1073,DIST-001073,3175,10,4,1093,Shelter Kit,22,250,5500,2024-12-28,2025-01-02,5,Delayed,Air,DP-44,STF-014,Biometric,0,0,
1074,DIST-001074,2327,11,4,140,Education Kit,36,35,1260,2022-05-20,2022-06-05,16,Delayed,Truck,DP-25,STF-089,Token,1,0,
1075,DIST-001075,3867,14,5,1010,NFI Kit,27,85,2295,2024-10-06,2024-10-09,3,Completed,Boat,DP-03,STF-112,Token,0,0,
1076,DIST-001076,4490,15,4,694,Education Kit,25,35,875,2023-11-25,2023-12-02,7,Completed,Truck,DP-29,STF-054,List-based,1,0,
1077,DIST-001077,1674,12,9,34,Cash Transfer,26,100,2600,2022-02-03,2022-02-12,9,In Transit,Air,DP-13,STF-185,Token,1,0,
1078,DIST-001078,2699,3,1,618,Education Kit,26,35,910,2023-09-10,2023-09-17,7,Completed,Air,DP-23,STF-044,Token,0,0,
1079,DIST-001079,4417,6,3,796,Food Ration,24,45,1080,2024-03-06,2024-03-06,0,Completed,Air,DP-26,STF-031,Biometric,1,0,
1080,DIST-001080,2723,11,1,891,Cash Transfer,1,100,100,2024-06-09,2024-06-10,1,In Transit,Boat,DP-01,STF-012,Token,1,0,
1081,DIST-001081,834,3,8,858,Education Kit,30,35,1050,2024-05-07,2024-05-09,2,Completed,Truck,DP-24,STF-147,Voucher,1,0,
1082,DIST-001082,1291,6,8,161,Medical Supplies,38,120,4560,2022-06-10,2022-06-12,2,Completed,Boat,DP-30,STF-073,Voucher,1,0,
1083,DIST-001083,2588,10,10,197,Winterization Kit,49,75,3675,2022-07-16,2022-07-21,5,Completed,Truck,DP-37,STF-137,List-based,0,0,
1084,DIST-001084,903,7,4,767,Education Kit,2,35,70,2024-02-06,2024-02-08,2,Partial,Boat,DP-43,STF-137,Token,1,0,
1085,DIST-001085,1856,3,7,1012,WASH Kit,9,60,540,2024-10-08,2024-10-10,2,Completed,Truck,DP-44,STF-176,Voucher,1,0,
1086,DIST-001086,1246,11,1,395,WASH Kit,10,60,600,2023-01-30,2023-02-09,10,Completed,Air,DP-50,STF-148,Biometric,1,0,
1087,DIST-001087,372,10,9,849,Winterization Kit,35,75,2625,2024-04-28,2024-05-03,5,Completed,Air,DP-17,STF-097,Token,1,0,
1088,DIST-001088,2697,15,9,909,Food Ration,49,45,2205,2024-06-27,2024-07-03,6,Completed,Truck,DP-16,STF-031,Voucher,1,0,
1089,DIST-001089,4263,9,9,1081,Cash Transfer,28,100,2800,2024-12-16,2025-01-01,16,Delayed,Handcarry,DP-26,STF-157,Token,1,0,
1090,DIST-001090,1865,3,4,287,Shelter Kit,20,250,5000,2022-10-14,2022-10-20,6,In Transit,Truck,DP-06,STF-118,List-based,1,0,
1091,DIST-001091,552,15,8,754,Cash Transfer,29,100,2900,2024-01-24,2024-01-28,4,Partial,Boat,DP-42,STF-180,List-based,1,0,
1092,DIST-001092,2111,7,2,395,WASH Kit,5,60,300,2023-01-30,2023-02-09,10,Delayed,Truck,DP-15,STF-039,Biometric,1,0,
1093,DIST-001093,2472,13,1,970,Cash Transfer,24,100,2400,2024-08-27,2024-08-28,1,Completed,Truck,DP-04,STF-125,Voucher,0,0,
1094,DIST-001094,580,9,6,780,Education Kit,19,35,665,2024-02-19,2024-02-19,0,In Transit,Handcarry,DP-19,STF-009,Biometric,1,0,
1095,DIST-001095,845,5,6,590,NFI Kit,33,85,2805,2023-08-13,2023-08-20,7,Failed,Air,DP-40,STF-067,Voucher,1,0,
1096,DIST-001096,2325,15,7,866,Winterization Kit,11,75,825,2024-05-15,2024-06-04,20,Delayed,Air,DP-10,STF-081,List-based,0,0,
1097,DIST-001097,1794,10,2,750,Medical Supplies,32,120,3840,2024-01-20,2024-01-29,9,Completed,Air,DP-15,STF-066,List-based,1,0,
1098,DIST-001098,725,9,9,425,Winterization Kit,8,75,600,2023-03-01,2023-03-05,4,Completed,Handcarry,DP-48,STF-113,List-based,0,0,
1099,DIST-001099,1489,13,10,279,Shelter Kit,42,250,10500,2022-10-06,2022-10-12,6,Partial,Truck,DP-31,STF-035,List-based,0,0,
1100,DIST-001100,1555,6,2,907,Cash Transfer,21,100,2100,2024-06-25,2024-07-12,17,Delayed,Air,DP-28,STF-128,Token,1,0,
1101,DIST-001101,3550,14,1,889,NFI Kit,40,85,3400,2024-06-07,2024-06-16,9,Completed,Boat,DP-18,STF-120,Voucher,0,0,
1102,DIST-001102,3194,6,8,727,Winterization Kit,21,75,1575,2023-12-28,2024-01-06,9,Completed,Boat,DP-34,STF-152,Voucher,1,0,
1103,DIST-001103,4638,13,4,815,Education Kit,2,35,70,2024-03-25,2024-03-29,4,In Transit,Boat,DP-32,STF-030,List-based,0,0,
1104,DIST-001104,2239,10,5,155,WASH Kit,40,60,2400,2022-06-04,2022-06-13,9,Completed,Handcarry,DP-06,STF-068,Biometric,0,0,
1105,DIST-001105,2307,2,9,633,Cash Transfer,10,100,1000,2023-09-25,2023-09-29,4,Failed,Truck,DP-21,STF-064,List-based,1,1,
1106,DIST-001106,1105,14,3,453,Winterization Kit,26,75,1950,2023-03-29,2023-04-05,7,Completed,Air,DP-45,STF-169,Biometric,1,0,
1107,DIST-001107,3529,2,9,370,Shelter Kit,22,250,5500,2023-01-05,2023-01-15,10,Partial,Air,DP-09,STF-169,Token,1,0,
1108,DIST-001108,4692,8,5,157,Medical Supplies,41,120,4920,2022-06-06,2022-06-18,12,Delayed,Boat,DP-42,STF-042,Voucher,0,0,
1109,DIST-001109,2903,9,1,205,WASH Kit,17,60,1020,2022-07-24,2022-07-24,0,Partial,Truck,DP-46,STF-107,Token,1,0,
1110,DIST-001110,4609,11,3,10,Education Kit,42,35,1470,2022-01-10,2022-01-15,5,Completed,Handcarry,DP-42,STF-064,Voucher,0,0,
1111,DIST-001111,3707,13,10,99,Education Kit,10,35,350,2022-04-09,2022-04-11,2,Partial,Handcarry,DP-06,STF-170,Voucher,1,1,
1112,DIST-001112,161,4,2,841,Education Kit,49,35,1715,2024-04-20,2024-04-22,2,Completed,Boat,DP-20,STF-012,Token,0,0,
1113,DIST-001113,602,9,9,517,Education Kit,33,35,1155,2023-06-01,2023-06-01,0,Completed,Boat,DP-14,STF-042,Biometric,1,1,
1114,DIST-001114,3730,4,2,994,Winterization Kit,19,75,1425,2024-09-20,2024-09-29,9,Delayed,Handcarry,DP-35,STF-155,List-based,1,0,
1115,DIST-001115,1136,3,5,964,Winterization Kit,23,75,1725,2024-08-21,2024-08-22,1,Completed,Boat,DP-02,STF-178,Token,1,0,
1116,DIST-001116,4684,9,1,679,WASH Kit,14,60,840,2023-11-10,2023-11-14,4,Completed,Handcarry,DP-04,STF-096,List-based,0,0,
1117,DIST-001117,1772,1,8,554,NFI Kit,35,85,2975,2023-07-08,2023-07-23,15,Delayed,Handcarry,DP-35,STF-131,Voucher,1,0,
1118,DIST-001118,714,2,8,1075,Food Ration,36,45,1620,2024-12-10,2024-12-18,8,Completed,Truck,DP-37,STF-069,Biometric,1,0,
1119,DIST-001119,2031,8,6,984,Medical Supplies,25,120,3000,2024-09-10,2024-09-18,8,Completed,Air,DP-23,STF-132,List-based,1,0,
1120,DIST-001120,3360,11,9,67,Winterization Kit,41,75,3075,2022-03-08,2022-03-09,1,Partial,Air,DP-33,STF-173,Voucher,1,0,
1121,DIST-001121,3338,14,2,215,Winterization Kit,50,75,3750,2022-08-03,2022-08-15,12,Delayed,Handcarry,DP-21,STF-171,Voucher,1,0,
1122,DIST-001122,4225,4,9,777,NFI Kit,33,85,2805,2024-02-16,2024-02-23,7,Completed,Truck,DP-26,STF-174,Token,0,0,
1123,DIST-001123,2559,1,9,484,NFI Kit,38,85,3230,2023-04-29,2023-05-04,5,Partial,Truck,DP-29,STF-113,Biometric,1,0,
1124,DIST-001124,2124,11,1,183,Education Kit,15,35,525,2022-07-02,2022-07-05,3,Completed,Air,DP-48,STF-005,Biometric,1,0,
1125,DIST-001125,596,2,3,770,Shelter Kit,47,250,11750,2024-02-09,2024-02-10,1,Completed,Air,DP-41,STF-047,Token,0,0,
1126,DIST-001126,4727,12,2,533,Shelter Kit,37,250,9250,2023-06-17,2023-06-27,10,In Transit,Handcarry,DP-47,STF-173,List-based,1,0,
1127,DIST-001127,456,12,9,679,NFI Kit,1,85,85,2023-11-10,2023-11-13,3,Completed,Truck,DP-21,STF-162,Voucher,1,0,
1128,DIST-001128,573,10,7,27,NFI Kit,20,85,1700,2022-01-27,2022-01-29,2,In Transit,Truck,DP-08,STF-141,List-based,1,0,
1129,DIST-001129,99,13,4,972,Food Ration,27,45,1215,2024-08-29,2024-08-31,2,Completed,Handcarry,DP-13,STF-134,Biometric,1,0,
1130,DIST-001130,2961,9,5,693,Education Kit,13,35,455,2023-11-24,2023-11-28,4,Completed,Boat,DP-19,STF-191,Biometric,1,0,
1131,DIST-001131,3458,7,6,2,Cash Transfer,49,100,4900,2022-01-02,2022-01-12,10,Completed,Truck,DP-39,STF-134,List-based,1,0,
1132,DIST-001132,3578,3,10,968,NFI Kit,10,85,850,2024-08-25,2024-08-28,3,Completed,Boat,DP-48,STF-106,Token,1,0,
1133,DIST-001133,3606,7,2,558,Medical Supplies,9,120,1080,2023-07-12,2023-07-15,3,Completed,Truck,DP-43,STF-114,Token,0,0,
1134,DIST-001134,106,11,1,517,Cash Transfer,41,100,4100,2023-06-01,2023-06-05,4,Completed,Handcarry,DP-43,STF-166,Token,0,0,
1135,DIST-001135,4685,4,6,749,Education Kit,2,35,70,2024-01-19,2024-01-20,1,Completed,Air,DP-18,STF-014,List-based,0,0,
1136,DIST-001136,2844,15,1,317,Education Kit,12,35,420,2022-11-13,2022-11-17,4,Completed,Handcarry,DP-08,STF-137,Biometric,1,1,
1137,DIST-001137,2384,9,2,1057,Medical Supplies,30,120,3600,2024-11-22,2024-11-26,4,Completed,Boat,DP-42,STF-134,Voucher,0,0,
1138,DIST-001138,215,12,1,824,Winterization Kit,21,75,1575,2024-04-03,2024-04-12,9,Completed,Handcarry,DP-22,STF-200,Voucher,1,0,
1139,DIST-001139,3382,9,1,934,Education Kit,32,35,1120,2024-07-22,2024-07-26,4,Completed,Truck,DP-33,STF-149,Voucher,1,0,
1140,DIST-001140,3530,7,4,138,Shelter Kit,9,250,2250,2022-05-18,2022-05-24,6,Failed,Air,DP-14,STF-112,Biometric,1,1,
1141,DIST-001141,3568,6,10,649,WASH Kit,30,60,1800,2023-10-11,2023-10-13,2,Completed,Handcarry,DP-36,STF-029,List-based,1,0,
1142,DIST-001142,1944,7,3,951,Food Ration,11,45,495,2024-08-08,2024-08-15,7,Completed,Truck,DP-39,STF-075,Token,1,0,
1143,DIST-001143,719,11,8,947,Education Kit,49,35,1715,2024-08-04,2024-08-12,8,Completed,Truck,DP-17,STF-108,Biometric,1,0,
1144,DIST-001144,1821,3,10,179,Education Kit,13,35,455,2022-06-28,2022-06-30,2,Partial,Truck,DP-48,STF-170,Voucher,0,0,
1145,DIST-001145,1741,1,2,1046,Shelter Kit,32,250,8000,2024-11-11,2024-11-11,0,Completed,Handcarry,DP-32,STF-063,Token,0,0,
1146,DIST-001146,3067,10,7,139,Medical Supplies,29,120,3480,2022-05-19,2022-05-26,7,Partial,Truck,DP-16,STF-160,Voucher,0,0,
1147,DIST-001147,4461,5,4,176,Medical Supplies,40,120,4800,2022-06-25,2022-07-05,10,In Transit,Boat,DP-01,STF-088,Voucher,1,0,
1148,DIST-001148,303,4,7,394,Cash Transfer,19,100,1900,2023-01-29,2023-02-05,7,Completed,Truck,DP-23,STF-020,Biometric,1,0,
1149,DIST-001149,1391,4,3,108,Shelter Kit,47,250,11750,2022-04-18,2022-04-19,1,Completed,Air,DP-25,STF-010,List-based,1,0,
1150,DIST-001150,3237,6,8,706,Education Kit,50,35,1750,2023-12-07,2023-12-10,3,In Transit,Boat,DP-02,STF-138,Biometric,1,0,
1151,DIST-001151,4268,13,5,1039,NFI Kit,32,85,2720,2024-11-04,2024-11-13,9,Completed,Boat,DP-29,STF-155,Voucher,1,0,
1152,DIST-001152,1236,2,10,107,Shelter Kit,42,250,10500,2022-04-17,2022-04-22,5,Completed,Boat,DP-31,STF-158,Token,1,0,
